縣市,城市編號,城市名,預報時間,氣溫,體感溫,風速,風向,氣壓,濕度,露點溫度,雲量,時雨量,預報信心,藍天指數,喝水指數,能見度,濃霧
臺中市,102,和平區,2017012413,18.7,22.6,3.8,306,1025,69,12.8,69,0,85,1,5,13,1
臺中市,102,和平區,2017012414,18.8,22.1,3.8,311,1024,68,12.7,66,0,80,2,5,13,1
臺中市,102,和平區,2017012415,18.8,21.2,3.8,316,1024,67,12.6,62,0,85,2,4,13,1
臺中市,102,和平區,2017012416,18.3,19.4,3.7,323,1024,70,12.7,55,0,85,3,4,13,1
臺中市,102,和平區,2017012417,17.3,16.3,3.1,334,1024,75,12.7,39,0,90,4,3,13,1
臺中市,102,和平區,2017012418,16.4,13.9,1.6,311,1025,80,12.8,45,0,85,3,2,12,1
臺中市,102,和平區,2017012419,16.5,15,0.8,97,1025,78,12.7,53,0,85,2,2,12,1
臺中市,102,和平區,2017012420,16.3,13.1,2.7,135,1026,81,13,49,0,90,4,1,12,1
臺中市,102,和平區,2017012421,15.6,12.4,2.8,121,1025,83,12.8,49,0,85,4,1,12,1
臺中市,102,和平區,2017012422,15.3,12.3,2.2,96,1026,82,12.3,44,0,85,4,1,12,1
臺中市,102,和平區,2017012423,15.1,12.2,2,97,1026,80,11.7,40,0,85,5,1,13,1
臺中市,103,外埔區,2017012300,11.9,5.3,7.5,29,1024,77,8.1,4,0,95,5,0,15,1
臺中市,103,外埔區,2017012301,11.8,6.7,3.9,36,1023,82,8.8,7,0,95,5,0,14,1
臺中市,103,外埔區,2017012302,11.7,6.8,3.4,34,1023,84,9,7,0,85,5,0,14,1
臺中市,103,外埔區,2017012303,11.8,6.5,4.1,23,1023,83,8.9,7,0,80,5,0,14,1
臺中市,103,外埔區,2017012304,11.7,6.4,4.3,30,1023,84,9,8,0,75,5,0,14,1
臺中市,103,外埔區,2017012305,11.7,6.8,3.9,29,1023,84,9.1,11,0,65,5,0,14,1
臺中市,103,外埔區,2017012306,11.8,6.5,4.4,33,1024,85,9.3,10,0,60,5,0,14,1
臺中市,103,外埔區,2017012307,12,8,4.6,32,1024,84,9.4,8,0,60,5,0,14,1
臺中市,103,外埔區,2017012308,13.7,11.9,6.1,25,1024,79,10.1,14,0,65,5,2,14,1
臺中市,103,外埔區,2017012309,15.9,15.4,6.9,25,1024,73,11,19,0,75,5,3,14,1
臺中市,103,外埔區,2017012310,17.7,18.1,7.7,24,1024,70,12.1,20,0,80,5,4,15,1
臺中市,103,外埔區,2017012311,18.8,19.5,8.5,23,1025,69,12.9,21,0,85,5,4,15,1
臺中市,103,外埔區,2017012312,19.3,19.9,9.1,20,1024,68,13.2,21,0,80,5,4,15,1
臺中市,103,外埔區,2017012313,19.4,20,9.6,20,1024,68,13.4,27,0,85,5,4,15,1
臺中市,103,外埔區,2017012314,18.9,17.6,9.6,19,1023,70,13.2,30,0,90,5,3,14,1
臺中市,103,外埔區,2017012315,18.3,17.5,9.5,18,1023,71,13,29,0,90,5,3,14,1
臺中市,103,外埔區,2017012316,17.4,14.3,9.2,18,1023,73,12.5,30,0,85,5,2,14,1
臺中市,103,外埔區,2017012317,16.1,11.9,8.2,23,1023,77,12,31,0,80,5,1,13,1
臺中市,103,外埔區,2017012318,14.3,8.9,6.9,23,1024,83,11.5,35,0,80,5,0,12,1
臺中市,103,外埔區,2017012319,14.2,9.4,5.9,25,1024,82,11.1,43,0,75,4,0,12,1
臺中市,103,外埔區,2017012320,14,9.6,4.8,27,1024,83,11.1,39,0,80,5,0,12,1
臺中市,103,外埔區,2017012321,13.8,9.9,3.5,22,1024,86,11.5,40,0,90,5,0,12,1
臺中市,103,外埔區,2017012322,13.7,10.4,2.8,27,1024,88,11.7,47,0,85,5,0,11,1
臺中市,103,外埔區,2017012323,14.3,11.2,2.5,20,1024,86,12,49,0,85,4,1,12,1
臺中市,103,外埔區,2017012400,14,11.4,1.8,24,1024,90,12.3,49,0,95,5,1,11,1
臺中市,103,外埔區,2017012401,13.8,11.4,1.4,30,1024,91,12.3,48,0,95,5,1,11,1
臺中市,103,外埔區,2017012402,14.3,12.3,1.2,38,1024,91,12.7,53,0,90,4,1,11,1
臺中市,103,外埔區,2017012403,14.7,12.3,1.7,105,1024,88,12.7,55,0,85,4,1,11,1
臺中市,103,外埔區,2017012404,14.8,12.3,2.1,25,1024,87,12.7,60,0,85,3,1,11,1
臺中市,103,外埔區,2017012405,14.6,12.1,2.2,23,1024,90,13,65,0.1,90,3,1,10,1
臺中市,103,外埔區,2017012406,15,12.2,2.5,31,1024,88,13,59,0,95,3,1,11,1
臺中市,103,外埔區,2017012407,14.7,13.3,2.7,16,1025,90,13.1,64,0,95,4,1,11,1
臺中市,103,外埔區,2017012408,15.6,15.9,3.4,21,1025,85,13.1,57,0,95,4,2,11,1
臺中市,103,外埔區,2017012409,16,15,3.7,29,1026,84,13.3,52,0,90,4,2,12,1
臺中市,103,外埔區,2017012410,17.8,19.7,4.3,32,1026,78,13.8,39,0,95,5,4,13,1
臺中市,103,外埔區,2017012411,18.4,19.7,5,281,1026,77,14.2,34,0,90,5,4,13,1
臺中市,103,外埔區,2017012412,19.5,22,5.2,104,1025,73,14.5,35,0,85,5,5,14,1
臺中市,103,外埔區,2017012413,19.9,20.8,6.6,282,1024,73,14.9,33,0,85,5,4,14,1
臺中市,103,外埔區,2017012414,19.8,21,6.7,281,1024,73,14.9,29,0,90,5,4,14,1
臺中市,103,外埔區,2017012415,19.5,19.7,6.4,14,1024,74,14.7,31,0,85,5,4,14,1
臺中市,103,外埔區,2017012416,18.8,18,6.5,15,1024,77,14.6,30,0,90,5,3,13,1
臺中市,103,外埔區,2017012417,18.2,15.7,5.6,11,1024,79,14.5,34,0,85,5,2,13,1
臺中市,103,外埔區,2017012418,16.4,11.5,5.6,16,1024,86,14.1,36,0,90,5,1,12,1
臺中市,103,外埔區,2017012419,15.6,11.3,4.2,22,1024,88,13.6,38,0,90,5,1,12,1
臺中市,103,外埔區,2017012420,15.2,11,3.8,18,1025,90,13.5,37,0,90,5,1,12,1
臺中市,103,外埔區,2017012421,14.9,11,3.5,103,1025,90,13.3,40,0,90,5,1,12,1
臺中市,103,外埔區,2017012422,15.1,11.4,3.2,107,1025,89,13.3,39,0,90,5,1,12,1
臺中市,103,外埔區,2017012423,14.6,11,2.8,18,1025,92,13.3,39,0,95,5,0,12,1
臺中市,104,大安區,2017012300,13.2,5.1,12.1,31,1024,77,9.3,4,0,95,5,0,15,1
臺中市,104,大安區,2017012301,13.2,6,9.2,36,1024,78,9.5,5,0,95,5,0,14,1
臺中市,104,大安區,2017012302,13.1,6.3,8.2,36,1023,80,9.8,6,0,95,5,0,14,1
臺中市,104,大安區,2017012303,13.2,6.2,8.4,32,1024,81,10,6,0,85,5,0,14,1
臺中市,104,大安區,2017012304,13.2,6.3,8.4,34,1024,82,10.2,9,0,80,5,0,14,1
臺中市,104,大安區,2017012305,13.2,6.6,8.2,33,1024,83,10.3,15,0,65,5,0,13,1
臺中市,104,大安區,2017012306,13.3,6.3,8.8,34,1024,83,10.5,9,0,60,5,0,14,1
臺中市,104,大安區,2017012307,13.4,7.6,9.1,34,1024,83,10.6,7,0,60,5,0,14,1
臺中市,104,大安區,2017012308,14.5,11.2,10.2,33,1025,80,11.1,15,0,65,5,1,14,1
臺中市,104,大安區,2017012309,16,14.3,11.2,31,1025,77,11.9,25,0,75,5,2,14,1
臺中市,104,大安區,2017012310,17.5,16.8,11.7,29,1025,74,12.7,26,0,80,5,3,14,1
臺中市,104,大安區,2017012311,18.2,17.8,12.4,27,1025,73,13.2,26,0,80,5,3,14,1
臺中市,104,大安區,2017012312,18.6,18.2,12.9,25,1024,71,13.3,24,0,75,5,3,14,1
臺中市,104,大安區,2017012313,18.7,18.3,13.3,24,1024,72,13.4,33,0,85,5,3,14,1
